"About the data: Exported on Nov 03, 2022. Criteria: '(""Management 5.0"" OR ""Supply Chain 5.0"" OR ((""Smart Supply Chain"" OR “Supply chain"" OR “Production” OR “Logistic” OR “Sourcing” OR “Manufacture” OR “Manufacturing”) AND (""Industry 5.0"" OR ""Fifth Industrial Revolution"" OR ""Society 5.0""))) AND (“Resilience” OR “Resiliency” OR “Resilient”)' in title and abstract; Publication Year is 2023 or 2022 or 2021 or 2020 or 2019 or 2018 or 2017. © 2022 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Publication Date (online),Publication Date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
1658,pub.1147301480,10.3233/atde220158,,,Exploring Data-Driven Decision-Making for Enhanced Sustainability,"The industry transition towards digital transformation opens the possibilities to utilize data for enhancing sustainability in industrial operations and build capabilities towards resilient and circular operations, i.e., shift towards industry 5.0. This paper explores how data-driven decision-making (DDDM) can enable sustainable and resilient supply chain operations within the manufacturing industry. A series of in-depth interviews were conducted with experts, researchers, and company representatives across the manufacturing industry and universities in Sweden. The findings show a consensus among companies, researchers, and literature about the potential of data utilization for sustainability purposes; however, in most cases, the complete transformation towards data-driven has not happened yet. Companies have uncertainty about what data is needed rather than its lack. Reliability & validity of data become essential to exploit the potential of the data organizations already possess. Based on the literature and interview data, a conceptual model is proposed, including three identified parameters connected to DDDM, 1) data and IT infrastructure, 2) current operations, and 3) an improved triple bottom line performance. The model captures the interconnections between such parameters, depicting the benefits and challenges of DDDM and its relation to more sustainable and resilient supply chain operations within the manufacturing industry. In a data-driven approach, real-time analysis of complex & extensive amounts of data gives unlimited possibilities to improve manufacturing operations through decision-making.",,Advances in Transdisciplinary Engineering,SPS2022,,2022-04-20,2022,2022-04-20,,,,,All OA; Gold,Chapter,"Chavez, Zuhara; Gopalakrishnan, Maheshwaran; Nilsson, Viktor; Westbroek, Arvid","Chavez, Zuhara (KTH Royal Institute of Technology, Department of Sustainable Production Development, Södertälje, Sweden); Gopalakrishnan, Maheshwaran (KTH Royal Institute of Technology, Department of Sustainable Production Development, Södertälje, Sweden); Nilsson, Viktor (KTH Royal Institute of Technology, Department of Industrial economics and management, Stockholm, Sweden); Westbroek, Arvid (KTH Royal Institute of Technology, Department of Industrial economics and management, Stockholm, Sweden)",,"Chavez, Zuhara (Royal Institute of Technology); Gopalakrishnan, Maheshwaran (Royal Institute of Technology); Nilsson, Viktor (Royal Institute of Technology); Westbroek, Arvid (Royal Institute of Technology)",0,0,,,https://ebooks.iospress.nl/pdf/doi/10.3233/ATDE220158,https://app.dimensions.ai/details/publication/pub.1147301480,"35 Commerce, Management, Tourism and Services; 3509 Transportation, Logistics and Supply Chains; 40 Engineering; 4014 Manufacturing Engineering; 46 Information and Computing Sciences; 4609 Information Systems","11 Sustainable Cities and Communities; 12 Responsible Consumption and Production; 9 Industry, Innovation and Infrastructure"
1649,pub.1145755511,10.1109/tii.2022.3152809,,,An Intelligent Classification Diagnosis based on Blood Oxygen Saturation Signals for Medical Data Supply Chain Including COVID-19 in Industry 5.0,"Obstructive sleep apnea-hypopnea syndrome (OSAHS) has been gradually valued due to its high prevalence, high risk, and high mortality. This article is to find an alternative to the polysomnography (PSG) OSAHS diagnosis method and assesses the subject's degree of illness considering the supply chain and Industry 5.0 requirement, efficiently, accurately and easily. The blood oxygen saturation (SpO2) signal is used to count the number of apnea or hypoventilation events. It extracts 35-dimensional features based on the time domain to enhance the process resilience, including approximate entropy, Centralized Trend Measurement (CTM), and LZ complexity for the diagnosis process in supply chains. This article summarizes the Oxygen Desaturation Index (ODI) characteristics. The feature selection process is reduced from 35 to 7 dimensions and benefits the implementation in the practical supply chains in industry 5.0. A 92% accuracy rate is reached in assessing the prevalence of OSAHS, satisfying the industrial deployment.",,IEEE Transactions on Industrial Informatics,,,2022-02-22,2022,2022-02-22,,PP,99,1-1,Closed,Article,"Zhang, Mingdong; Dong, Chaoyu; Zhang, Dongming; Tseng, Ming-Lang; Wei, Jianguo; Xiong, Naixue","Zhang, Mingdong (College of intelligence and Computing, Tianjin University, 12605 Tianjin, Tianjin, China, 300072); Dong, Chaoyu (Singapore, Please select, Singapore, 637141); Zhang, Dongming (Agricultural Bank of China, 365384 Tianjin, China, 300074); Tseng, Ming-Lang (Institute of Innovation and Circular Economy, Asia University, 63267 Taiwan, 41354); Wei, Jianguo (Tianjin, China, 300350); Xiong, Naixue (C. S., Colorado Technical University, 2607 Colorado Springs, Colorado, United States, 80907)",,"Zhang, Mingdong (Tianjin University); Dong, Chaoyu (); Zhang, Dongming (Agricultural Bank of China); Tseng, Ming-Lang (Asian University); Wei, Jianguo (); Xiong, Naixue ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1145755511,40 Engineering; 46 Information and Computing Sciences,"9 Industry, Innovation and Infrastructure"
1606,pub.1148873921,10.1080/00207543.2022.2089929,,,Blockchained smart contract pyramid-driven multi-agent autonomous process control for resilient individualised manufacturing towards Industry 5.0,,,International Journal of Production Research,,,2022-06-22,2022,2022-06-22,,,,1-20,Closed,Article,"Leng, Jiewu; Sha, Weinan; Lin, Zisheng; Jing, Jianbo; Liu, Qiang; Chen, Xin","Leng, Jiewu (Guangdong Provincial Key Laboratory of Computer Integrated Manufacturing System, State Key Laboratory of Precision Electronic Manufacturing Technology and Equipment, Guangdong University of Technology, Guangzhou, People’s Republic of China; Shenzhen Research Institute, City University of Hong Kong, Shenzhen, People’s Republic of China); Sha, Weinan (Guangdong Provincial Key Laboratory of Computer Integrated Manufacturing System, State Key Laboratory of Precision Electronic Manufacturing Technology and Equipment, Guangdong University of Technology, Guangzhou, People’s Republic of China); Lin, Zisheng (Guangdong Provincial Key Laboratory of Computer Integrated Manufacturing System, State Key Laboratory of Precision Electronic Manufacturing Technology and Equipment, Guangdong University of Technology, Guangzhou, People’s Republic of China); Jing, Jianbo (Guangdong Provincial Key Laboratory of Computer Integrated Manufacturing System, State Key Laboratory of Precision Electronic Manufacturing Technology and Equipment, Guangdong University of Technology, Guangzhou, People’s Republic of China); Liu, Qiang (Guangdong Provincial Key Laboratory of Computer Integrated Manufacturing System, State Key Laboratory of Precision Electronic Manufacturing Technology and Equipment, Guangdong University of Technology, Guangzhou, People’s Republic of China); Chen, Xin (Guangdong Provincial Key Laboratory of Computer Integrated Manufacturing System, State Key Laboratory of Precision Electronic Manufacturing Technology and Equipment, Guangdong University of Technology, Guangzhou, People’s Republic of China)",,"Leng, Jiewu (Guangdong University of Technology; City University of Hong Kong); Sha, Weinan (Guangdong University of Technology); Lin, Zisheng (Guangdong University of Technology); Jing, Jianbo (Guangdong University of Technology); Liu, Qiang (Guangdong University of Technology); Chen, Xin (Guangdong University of Technology)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1148873921,40 Engineering; 4014 Manufacturing Engineering,"9 Industry, Innovation and Infrastructure"
1551,pub.1143626769,10.1016/j.ijpe.2021.108381,,,Knowledge mapping of digital twin and physical internet in Supply Chain Management: A systematic literature review,"Physical Internet (PI) is an open global logistics system of which components are hyperconnected for increased efficiency and sustainability. Digital twin (DT), referring to the virtual representation of a physical object, is well-perceived as a key driver in the development of PI-based Supply Chain Management (SCM). Due to the capabilities of real-time monitoring and evaluation of large-scale complex systems, significant research efforts have been made to exploit values of PI/DT in SCM. Despite this, the current literature remained largely unstructured and scattered due to a lack of systematic literature reviews to synergise research findings, analyse the evolution of research fronts and extract emerging trends in the field. To address this issue, the paper deploys a bibliometric knowledge mapping approach to provide a bird's eye view of the current research status in the PI/DT-SCM area. Using CiteSpace's keyword co-occurrence network, 518 journal articles are clustered into 10 key research streams on PI/DT applications in: job shop scheduling, smart manufacturing design, PI-based SCM, manufacturing virtualisation, information management, sustainability development, data analytics, manufacturing operations management, simulation and optimisation, and assembly process planning. Based on citation burst rate, keywords representing research frontiers of the PI/DT are detected and their temporal evolutions are discussed. Likewise, some identified emerging research trends are production process and system, robotics, computer architecture, and cost. Finally, seven future research directions are suggested, which emphasise on several PI/DT-related issues, including business ecosystem, sustainability development, SC downstream management, cognitive thinking in Industry 5.0, citizen twin in digital society, and SC resilience.",,International Journal of Production Economics,,,2022-02,2022,,2022-02,244,,108381,All OA; Green,Article,"Nguyen, Tiep; Duong, Quang Huy; Van Nguyen, Truong; Zhu, You; Zhou, Li","Nguyen, Tiep (Business School, University of Greenwich, London, SE10 9LS, UK); Duong, Quang Huy (Business School, University of Greenwich, London, SE10 9LS, UK); Van Nguyen, Truong (Business School, Brunel University London, Uxbridge, UB8 3PH, UK); Zhu, You (College of Business Administration, Hunan University, Changsha, 410082, China); Zhou, Li (Business School, University of Greenwich, London, SE10 9LS, UK)","Zhu, You (Hunan University)","Nguyen, Tiep (University of Greenwich); Duong, Quang Huy (University of Greenwich); Van Nguyen, Truong (Brunel University London); Zhu, You (Hunan University); Zhou, Li (University of Greenwich)",8,8,,,http://gala.gre.ac.uk/id/eprint/34545/3/34545_ZHOU_%20Knowledge_mapping_of_digital_twin.pdf,https://app.dimensions.ai/details/publication/pub.1143626769,"35 Commerce, Management, Tourism and Services; 3509 Transportation, Logistics and Supply Chains; 40 Engineering; 4014 Manufacturing Engineering; 46 Information and Computing Sciences; 4609 Information Systems","9 Industry, Innovation and Infrastructure"
1542,pub.1151627852,10.36818/2071-4653-2022-3-7,,,Industry 5.0: transition to a sustainable and human-oriented industry,"The article addresses the main trends in the development of world industry within the framework of Industry 4.0 and the new Industry 5.0. The main prerequisites for the emergence of the Industry 5.0 concept are studied, in particular, extensive digitization and the dynamic development of technologies of the fourth industrial revolution, which has led to the certain dehumanization of industry and has increased the interest of the scientific community in the aspects of industrial humanization, human-centeredness of industry, stability, sustainability, and resilience. The main principles and trends of the development of Industry 5.0, the impact of the Covid-19 pandemic, geopolitical crises, and disruptions of the global value chains on the condition and prospects for the development of world industry, new rules and requirements for global product manufacturers, technological innovations, and production trends are studied. The author identifies directions for expanding the concept of Industry 4.0 to include humanization, sustainability, and resilience. The rapid development of new technologies often outpaces the ability of organizations to align their development priorities with it and effectively take advantage of new opportunities, which leads to the need to navigate the changing business environment in time and develop a relevant development strategy. With so many technological changes, changing workforce demands, and social and regulatory priorities, there is a need to define guiding principles to help set the course for the digital industry. Industry 5.0 has become the basis for revising the future of energy, manufacturing, and mobility of supply chains, which rest on the foundations laid by Industry 4.0. The weaknesses of the Industry 4.0 concept, especially in terms of the role of a human in ""smart"" production and ensuring sustainable development are outlined. Accordingly, the expediency of further research and implementation of the Industry 5.0 concept is substantiated. On the basis of the conducted research on the implementation of Industry 5.0 and the world trends of industrial development, the author justifies the feasibility of reorienting production and business activities to human-centeredness as a new norm, strengthening sustainability, in particular, careful planning of stabilization measures in case of disruption of the global value chains – from factory facilities to network supplier, to transport channels, to regulatory and geopolitical changes, ensuring sustainability with manufacturers rethinking their impact on natural resources in connection with the expansion of the regulatory and legislative framework and investors' attention to reducing carbon emissions and negative impact on the environment.",,Socio-Economic Problems of the Modern Period of Ukraine,,,2022,2022,,2022,,3(155),41-46,Closed,Article,"Ryvak, Nataliya O.","Ryvak, Nataliya O. (Dolishniy Institute of Regional Research of NAS of Ukraine)",,"Ryvak, Nataliya O. (Dolishniy Institute of Regional Research of NAS of Ukraine)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1151627852,44 Human Society; 4404 Development Studies,"9 Industry, Innovation and Infrastructure"
1482,pub.1151547456,10.1016/j.jmsy.2022.09.017,,,Industry 5.0: Prospect and retrospect,"Industry 5.0 blows the whistle on global industrial transformation. It aims to place humans’ well-being at the center of manufacturing systems, thereby achieving social goals beyond employment and growth to provide prosperity robustly for the sustainable development of all humanity. However, the current exploration of Industry 5.0 is still in its infancy where research findings are relatively scarce and little systematic. This paper first reviews the evolutionary vein of Industry 5.0 and three leading characteristics of Industry 5.0: human-centricity, sustainability, and resiliency. The connotation system of Industry 5.0 is discussed, and its diversified essence is analyzed. Then, this paper constructs a tri-dimension system architecture for implementing Industry 5.0, namely, the technical dimension, reality dimension, and application dimension. The paper further discusses key enablers, the future implementation path, potential applications, and challenges of realistic scenarios of Industry 5.0. Finally, the limitations of the current research are discussed with potential future research directions highlighted. It is expected that this review work will arouse lively discussions and debates, and bring together the strengths of all beings for building a comprehensive system of Industry 5.0.","This work was supported by the National Natural Science Foundation of China under Grant No. 52075107, No. 52205542, and U20A6004; Outstanding Youth Fund of Guangdong Province under Grant No. 2022B1515020006; and the Shenzhen Special Fund for the Development of Strategic Emerging Industries under Grant No. JCYJ20170818100156260. The first author also wants to express gratitude to Dr. Yuqian Lu for providing valuable comments to improve this paper.",Journal of Manufacturing Systems,,,2022-10,2022,,2022-10,65,,279-295,Closed,Article,"Leng, Jiewu; Sha, Weinan; Wang, Baicun; Zheng, Pai; Zhuang, Cunbo; Liu, Qiang; Wuest, Thorsten; Mourtzis, Dimitris; Wang, Lihui","Leng, Jiewu (State Key Laboratory of Precision Electronic Manufacturing Technology and Equipment, Guangdong University of Technology, Guangzhou 510006, China; Shenzhen Research Institute, City University of Hong Kong, Shenzhen 518057, China); Sha, Weinan (State Key Laboratory of Precision Electronic Manufacturing Technology and Equipment, Guangdong University of Technology, Guangzhou 510006, China); Wang, Baicun (State Key Laboratory of Fluid Power and Mechatronic Systems, Zhejiang University, Hangzhou 310027, China); Zheng, Pai (Department of Industrial and Systems Engineering, The Hong Kong Polytechnic University, 999077, Hong Kong, China); Zhuang, Cunbo (Laboratory of Digital Manufacturing, School of Mechanical Engineering, Beijing Institute of Technology, Beijing 100081, China); Liu, Qiang (State Key Laboratory of Precision Electronic Manufacturing Technology and Equipment, Guangdong University of Technology, Guangzhou 510006, China); Wuest, Thorsten (Department of Industrial and Management Systems Engineering, West Virginia University, Morgantown, WV 26506, USA); Mourtzis, Dimitris (Laboratory for Manufacturing Systems and Automation, Department of Mechanical Engineering and Aeronautics, University of Patras, Rio, Patras 26504, Greece); Wang, Lihui (Department of Production Engineering, KTH Royal Institute of Technology, Stockholm, Sweden)","Liu, Qiang (Guangdong University of Technology)","Leng, Jiewu (Guangdong University of Technology; City University of Hong Kong); Sha, Weinan (Guangdong University of Technology); Wang, Baicun (Zhejiang University); Zheng, Pai (Hong Kong Polytechnic University); Zhuang, Cunbo (Beijing Institute of Technology); Liu, Qiang (Guangdong University of Technology); Wuest, Thorsten (West Virginia University); Mourtzis, Dimitris (University of Patras); Wang, Lihui (Royal Institute of Technology)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1151547456,40 Engineering; 4014 Manufacturing Engineering,"11 Sustainable Cities and Communities; 9 Industry, Innovation and Infrastructure"
1480,pub.1146825164,10.3390/logistics6020026,,,Moving from Industry 4.0 to Industry 5.0: What Are the Implications for Smart Logistics?,"Background: Given the importance of human centricity, resilience, and sustainability, the emerging concept of Industry 5.0 has pushed forward the research frontier of the technology-focused Industry 4.0 to a smart and harmonious socio-economic transition driven by both humans and technologies, where the role of the human in the technological transformation is predominantly focused on. Several studies discuss the impacts of disruptive technologies on smart logistics operations in Industry 4.0. However, since Industry 5.0 is a new concept and still in its infancy, its implications for smart logistics have not been discussed. Methods: To fill this gap, this paper presents a comparative bibliometric analysis to show the connection and differences between Industry 4.0 and Industry 5.0 and their implications for smart logistics. A thorough content analysis is then given to illustrate the features of smart logistics in Industry 5.0 concerning four areas, namely intelligent automation, intelligent devices, intelligent systems, and intelligent materials. Results: The results show that, compared with Industry 4.0, the research of smart logistics in Industry 5.0 puts more focus on the interaction between humans and technology in the digital transition, with the increasing adoption of collaborative technologies, e.g., human-machine systems, collaborative robots, and human-robot collaboration. Conclusions: Finally, a research agenda is proposed for identifying future research directions of smart logistics in Industry 5.0.",,Logistics,,,2022-04-01,2022,2022-04-01,,6,2,26,All OA; Gold,Article,"Jafari, Niloofar; Azarian, Mohammad; Yu, Hao","Jafari, Niloofar (); Azarian, Mohammad (); Yu, Hao ()",,"Jafari, Niloofar (); Azarian, Mohammad (); Yu, Hao ()",8,8,,,https://www.mdpi.com/2305-6290/6/2/26/pdf?version=1649846650,https://app.dimensions.ai/details/publication/pub.1146825164,46 Information and Computing Sciences; 4608 Human-Centred Computing,"9 Industry, Innovation and Infrastructure"
1464,pub.1151112655,10.1007/978-3-031-16407-1_50,,,Industry 5.0 – Making It Happen in the Agri Industry. The Core Product Service Platform,"There is a gap between the “radical” visions for Industry 5.0 and the practical solutions, which are mainly based on enabling technologies, we have seen so far. We still need more practical guidelines and cases to get an understanding of how, or whether Industry 5.0 could be relevant as an approach for manufacturing companies to meet the challenges they are facing. This paper investigates how Industry 5.0 can be the reference for developing capabilities needed for meeting the increasingly challenging market and sustainability requirements. To be able to capture all facets and effects of Industry 5.0, the sustainability, resilience and human centricity principles have to work jointly together aligned with roadmaps. This paper presents a platform for industry 5.0 capability development based upon literature that is tested in two firms in the agricultural industry. “The Core Product Service Platform” describing the products and services to deliver and capabilities needed to become an Industry 5.0 company.",,IFIP Advances in Information and Communication Technology,Advances in Production Management Systems. Smart Manufacturing and Logistics Systems: Turning Ideas into Action,,2022-09-19,2022,2022-09-19,2022,663,,424-431,Closed,Chapter,"Henriksen, Bjørnar; Røstad, Carl Christian; Thomassen, Maria Kollberg","Henriksen, Bjørnar (SINTEF Technology Management, S.P. Andersens vei 5, N-7465, Trondheim, Norway); Røstad, Carl Christian (SINTEF Technology Management, S.P. Andersens vei 5, N-7465, Trondheim, Norway); Thomassen, Maria Kollberg (SINTEF Technology Management, S.P. Andersens vei 5, N-7465, Trondheim, Norway)","Røstad, Carl Christian (SINTEF); Thomassen, Maria Kollberg (SINTEF)","Henriksen, Bjørnar (SINTEF); Røstad, Carl Christian (SINTEF); Thomassen, Maria Kollberg (SINTEF)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1151112655,46 Information and Computing Sciences,"9 Industry, Innovation and Infrastructure"
1456,pub.1146377164,10.1016/j.tre.2022.102676,,,Cloud supply chain: Integrating Industry 4.0 and digital platforms in the “Supply Chain-as-a-Service”,"In this paper, we introduce cloud supply chain which is a business model based on cloud-enabled networking of some third-party physical and digital assets to design and manage a supply chain network. Cloud supply chain integrates concepts and technology of Industry 4.0 and digital platforms emerging in the “supply chain-as-a-service” paradigm. This paper conceptualizes the cloud supply chain as a new and distinct research area. Through analysis of practical cases, we deduce some generalized characteristics of the cloud supply chain. In the generalised model, we formalize supply chain multi-structural dynamics and dynamic service composition. Our results show that the main generalized characteristics of the cloud supply chain are related to (i) multi-structural dynamics; (ii) platforms, digital supply chains, ecosystems, and visibility, (iii) dynamic service composition with dynamically changing buyer/supplier roles, (iv) resilience and viability, and (v) intertwined supply networks and circular economy. We close by discussing future research directions including novel context of Industry 5.0.",The authors thank the Co-Editor-in-Chief Prof. Tsan-Ming Choi and anonymous reviewers for their invaluable suggestions which greatly contributed to the improvement of the paper.,Transportation Research Part E Logistics and Transportation Review,,,2022-04,2022,,2022-04,160,,102676,All OA; Bronze,Article,"Ivanov, Dmitry; Dolgui, Alexandre; Sokolov, Boris","Ivanov, Dmitry (Berlin School of Economics and Law, Supply Chain and Operations Management, 10825 Berlin, Germany); Dolgui, Alexandre (IMT Atlantique, LS2N - CNRS, La Chantrerie, 4 rue Alfred Kastler, 44307 Nantes, France); Sokolov, Boris (St. Petersburg Federal Research Center of the Russian Academy of Sciences, St. Petersburg Institute for Informatics and Automation of the Russian Academy of Sciences, 14th line, 39, St. Petersburg 199178, Russia)","Ivanov, Dmitry (Berlin School of Economics and Law)","Ivanov, Dmitry (Berlin School of Economics and Law); Dolgui, Alexandre (IMT Atlantique); Sokolov, Boris ()",22,22,,,https://doi.org/10.1016/j.tre.2022.102676,https://app.dimensions.ai/details/publication/pub.1146377164,"35 Commerce, Management, Tourism and Services; 3509 Transportation, Logistics and Supply Chains",12 Responsible Consumption and Production
1444,pub.1145883427,10.3390/su14052773,,,Smooth and Resilient Human–Machine Teamwork as an Industry 5.0 Design Challenge,"Smart machine companions such as artificial intelligence (AI) assistants and collaborative robots are rapidly populating the factory floor. Future factory floor workers will work in teams that include both human co-workers and smart machine actors. The visions of Industry 5.0 describe sustainable, resilient, and human-centered future factories that will require smart and resilient capabilities both from next-generation manufacturing systems and human operators. What kinds of approaches can help design these kinds of resilient human–machine teams and collaborations within them? In this paper, we analyze this design challenge, and we propose basing the design on the joint cognitive systems approach. The established joint cognitive systems approach can be complemented with approaches that support human centricity in the early phases of design, as well as in the development of continuously co-evolving human–machine teams. We propose approaches to observing and analyzing the collaboration in human–machine teams, developing the concept of operations with relevant stakeholders, and including ethical aspects in the design and development. We base our work on the joint cognitive systems approach and propose complementary approaches and methods, namely: actor–network theory, the concept of operations and ethically aware design. We identify their possibilities and challenges in designing and developing smooth human–machine teams for Industry 5.0 manufacturing systems.",,Sustainability,,,2022-02-26,2022,2022-02-26,,14,5,2773,All OA; Gold,Article,"Kaasinen, Eija; Anttila, Anu-Hanna; Heikkilä, Päivi; Laarni, Jari; Koskinen, Hanna; Väätänen, Antti","Kaasinen, Eija (); Anttila, Anu-Hanna (); Heikkilä, Päivi (); Laarni, Jari (); Koskinen, Hanna (); Väätänen, Antti ()",,"Kaasinen, Eija (); Anttila, Anu-Hanna (); Heikkilä, Päivi (); Laarni, Jari (); Koskinen, Hanna (); Väätänen, Antti ()",6,6,,,https://www.mdpi.com/2071-1050/14/5/2773/pdf?version=1645873733,https://app.dimensions.ai/details/publication/pub.1145883427,40 Engineering; 4014 Manufacturing Engineering; 46 Information and Computing Sciences; 4608 Human-Centred Computing,"11 Sustainable Cities and Communities; 9 Industry, Innovation and Infrastructure"
1426,pub.1148330809,10.2139/ssrn.4123896,,,Emerging Technologies: A Paradigm Shift in SCM Application in Dairy Supply Chain 4.0,"With the evolution of cutting-edge technologies and globalization, Supply Chain Management (SCM) is gaining a competitive edge, making supply networks more interconnected and complex. In times of disaster and disruption, supply chains are showing more resilience and becoming adaptable and flexible. The global supply chains are changing at an alarming speed, with the emergence of 5G technologies, distance-based delivery, and tracking systems, location intelligence, Robotic LiDAR technologies, cloud-based warehousing, wireless sensors, Artificial Intelligence, Augmented Reality, gaining a new edge. Organizations are boosting operational efficiency and improving their businesses, by providing real-time operations, enabling logistics and warehouse operators to increase productivity and efficiency, and improving visibility in the supply chain.This automation has alienated humans from the Supply chain processes, which has fast-forwarded SCM 5.0. SCM 5.0 is about mass customization, to bring back a humane touch, which enables seamless interactions between humans and machines. It involves leveraging the collaboration of powerful and real-time machinery, with the unique creative potential of human beings. Industry 5.0 will generate huge and positive impacts in terms of sustainability. This paper aims to look into the new emerging technologies which are revolutionizing the field of SCM with a futuristic approach and discusses the potential of usage of these technologies in the dairy industry which can lead to White Revolution 4.0.",,SSRN Electronic Journal,,,2022,2022,,,,,,All OA; Green,Preprint,"Raparla, Krishnaveni; Modh, Satish; Pandey, Nisha","Raparla, Krishnaveni (); Modh, Satish (Vivekanand Institute of Management Studies); Pandey, Nisha ()",,"Raparla, Krishnaveni (); Modh, Satish (); Pandey, Nisha ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1148330809,"35 Commerce, Management, Tourism and Services; 3509 Transportation, Logistics and Supply Chains; 46 Information and Computing Sciences; 4609 Information Systems","9 Industry, Innovation and Infrastructure"
1389,pub.1148924309,10.3390/en15134579,,,Global Changes and Disruptions in Supply Chains—Preliminary Research to Sustainable Resilience of Supply Chains,"The contemporary world becomes more and more volatile and unpredictable every year (dynamic development of technology—Industry 4.0 and Industry 5.0, dynamic global changes related to the COVID-19 pandemic, great changes in consumer behavior, climate crisis, geopolitical disruptions). Individuals, companies, and supply chains face challenges emerging from economic, sociological, and political phenomena. These phenomena disrupt regular performance and limit the efficient functioning of companies and economies. Due to numerous relations and connections in the economy, disruptions in one area affect the others and spread, growing in range and severity. Hence, disruptions should be dealt with to provide continuity of supply chains and to ensure their efficient and effective performance. The study aims to identify crucial characteristics of disruptions to facilitate disruption minimization strategies. The characteristics of disruptions in supply chains are identified based on a literature review, synthesized and validated by the experts. A study is implemented to validate identified characteristics and to confront theoretical findings with the practical experience and observations of the experts. The results of the study are discussed and commented on. The conclusions from the study refer to the nature and characteristics of disruptions in the contemporary economy, equipping managers with useful knowledge when dealing with disruptions, and academics with observations that can stimulate further discussion on stability, flexibility, and resilience of companies and supply chains.",,Energies,,,2022-06-23,2022,2022-06-23,,15,13,4579,All OA; Gold,Article,"Grzybowska, Katarzyna; Stachowiak, Agnieszka","Grzybowska, Katarzyna (); Stachowiak, Agnieszka ()",,"Grzybowska, Katarzyna (); Stachowiak, Agnieszka ()",0,0,,,https://www.mdpi.com/1996-1073/15/13/4579/pdf?version=1655969551,https://app.dimensions.ai/details/publication/pub.1148924309,33 Built Environment and Design; 40 Engineering; 51 Physical Sciences,
1383,pub.1144321682,10.1007/978-981-16-7365-8_3,,,Smart Manufacturing Systems Management,"The influence of IT in the manufacturing systems became not only visible but also a necessity of operational management. The manufacturing systems evolution is presented using a comparison between the industrial revolutions and Maslow’ hierarchy of needs, up-to-date. However, the presented evolution used life quality indicators, to explain the need for continuous adaptation of the manufacturing systems to people, the end customer. The virtualization of the enterprise IT system process and the reference cloud architecture is also presented, in order to clearly estate the prerequisites for Industry 4.0, with a detailed map of the internal cloud processes. The study also presented the major software providers prediction, before and during the COVID pandemic time, which greatly impacted consumer behaviour. Furthermore, the changes of the customer behaviour, cumulated with the globalization limitation, and workforce polarization, affected businesses in terms of rethinking the supply chain, with the target on flexibility, prediction and resilience and the attitude regarding the employees. The conclusions section summarizes the key findings of the study and exposes the authors’ prediction for the short-time evolution of the manufacturing systems.",,Advances in Sustainability Science and Technology,Sustainability and Innovation in Manufacturing Enterprises,,2022-01-01,2022,2022-01-01,2022,,,65-87,Closed,Chapter,"Carutasu, George; Carutasu, Nicoleta Luminita","Carutasu, George (Romanian-American University, Faculty of Computer Science for Business Management, Bucharest, Romania); Carutasu, Nicoleta Luminita (University Politehnica of Bucharest, Faculty of Industrial Engineering and Robotics, Bucharest, Romania)","Carutasu, George (Romanian-American University)","Carutasu, George (Romanian-American University); Carutasu, Nicoleta Luminita (Polytechnic University of Bucharest)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1144321682,40 Engineering; 4014 Manufacturing Engineering,"9 Industry, Innovation and Infrastructure"
